transfer_id,product_id,source_warehouse_id,dest_warehouse_id,ship_date,receive_date,quantity
TRF00037,SKU078,WH01,WH04,2024-01-22,2024-01-25,31
TRF00038,SKU026,WH05,WH02,2024-01-22,2024-01-24,88
TRF00039,SKU385,WH01,WH05,2024-01-22,2024-01-27,72
TRF00040,SKU010,WH02,WH03,2024-01-22,2024-01-30,38
TRF00041,SKU235,WH05,WH02,2024-01-23,2024-01-25,110
TRF00042,SKU095,WH03,WH02,2024-01-23,2024-01-25,57
TRF00043,SKU045,WH01,WH03,2024-01-25,2024-02-03,118
TRF00044,SKU308,WH04,WH02,2024-01-26,2024-01-28,104
TRF00045,SKU161,WH02,WH03,2024-01-26,2024-01-31,22
TRF00046,SKU003,WH03,WH04,2024-01-27,2024-01-29,31
TRF00047,SKU165,WH03,WH02,2024-01-27,2024-01-30,116
TRF00048,SKU363,WH02,WH01,2024-01-27,2024-01-31,90
TRF00049,SKU095,WH03,WH04,2024-01-28,2024-02-03,30
TRF00050,SKU396,WH02,WH03,2024-01-28,2024-02-01,116
TRF00051,SKU039,WH05,WH04,2024-01-28,2024-02-06,29
TRF00052,SKU201,WH04,WH01,2024-01-28,2024-01-31,119
TRF00053,SKU014,WH05,WH03,2024-01-29,2024-02-05,88
TRF00054,SKU125,WH04,WH03,2024-01-29,2024-01-31,68
TRF00055,SKU096,WH02,WH05,2024-01-29,2024-02-01,44
TRF00056,SKU060,WH05,WH03,2024-01-30,2024-02-08,38
TRF00057,SKU134,WH02,WH03,2024-01-30,2024-02-02,24
TRF00058,SKU290,WH03,WH02,2024-01-30,2024-02-06,76
TRF00059,SKU045,WH01,WH05,2024-01-31,2024-02-04,73
TRF00060,SKU064,WH04,WH02,2024-01-31,2024-02-03,113
TRF00061,SKU121,WH04,WH03,2024-01-31,2024-02-03,53
TRF00062,SKU011,WH01,WH03,2024-02-01,2024-02-08,70
TRF00063,SKU061,WH05,WH02,2024-02-01,2024-02-10,103
TRF00064,SKU359,WH02,WH04,2024-02-01,2024-02-07,64
TRF00065,SKU036,WH05,WH02,2024-02-01,2024-02-08,31
TRF00066,SKU107,WH05,WH04,2024-02-01,2024-02-03,102
TRF00067,SKU309,WH03,WH04,2024-02-01,2024-02-09,73
TRF00068,SKU170,WH03,WH01,2024-02-01,2024-02-04,58
TRF00069,SKU381,WH01,WH03,2024-02-02,2024-02-07,67
TRF00070,SKU077,WH05,WH01,2024-02-02,2024-02-05,114
TRF00071,SKU098,WH05,WH04,2024-02-03,2024-02-05,41
TRF00072,SKU148,WH05,WH04,2024-02-03,2024-02-05,104
TRF00073,SKU134,WH02,WH03,2024-02-03,2024-02-09,28
TRF00074,SKU154,WH04,WH05,2024-02-03,2024-02-11,91
TRF00075,SKU284,WH04,WH03,2024-02-04,2024-02-09,56
TRF00076,SKU196,WH01,WH04,2024-02-04,2024-02-12,104
TRF00077,SKU038,WH03,WH04,2024-02-04,2024-02-06,92
TRF00078,SKU275,WH05,WH03,2024-02-04,2024-02-09,116
TRF00079,SKU041,WH03,WH04,2024-02-04,2024-02-08,65
TRF00080,SKU194,WH03,WH05,2024-02-04,2024-02-07,66
TRF00081,SKU371,WH05,WH03,2024-02-05,2024-02-11,39
TRF00082,SKU314,WH02,WH01,2024-02-05,2024-02-09,86
TRF00083,SKU376,WH02,WH01,2024-02-05,2024-02-14,49
TRF00084,SKU309,WH03,WH04,2024-02-05,2024-02-10,88
TRF00085,SKU300,WH02,WH04,2024-02-05,2024-02-10,119
TRF00086,SKU188,WH03,WH04,2024-02-05,2024-02-12,24
TRF00087,SKU340,WH01,WH03,2024-02-06,2024-02-11,22
TRF00088,SKU186,WH03,WH04,2024-02-06,2024-02-08,116
TRF00089,SKU190,WH04,WH02,2024-02-07,2024-02-15,56
TRF00090,SKU131,WH05,WH03,2024-02-07,2024-02-15,72
TRF00091,SKU262,WH03,WH02,2024-02-07,2024-02-11,25
TRF00092,SKU314,WH04,WH02,2024-02-07,2024-02-13,72
TRF00093,SKU140,WH03,WH01,2024-02-07,2024-02-10,75
TRF00094,SKU182,WH03,WH04,2024-02-07,2024-02-16,43
TRF00095,SKU358,WH02,WH01,2024-02-07,2024-02-15,47
TRF00096,SKU205,WH01,WH02,2024-02-07,2024-02-14,35
TRF00097,SKU313,WH01,WH03,2024-02-07,2024-02-10,58
TRF00098,SKU151,WH02,WH01,2024-02-08,2024-02-10,46
TRF00099,SKU157,WH05,WH03,2024-02-08,2024-02-13,100
TRF00100,SKU156,WH03,WH05,2024-02-08,2024-02-13,40
TRF00101,SKU031,WH04,WH01,2024-02-09,2024-02-13,41
TRF00102,SKU107,WH02,WH05,2024-02-09,2024-02-16,24
TRF00103,SKU110,WH04,WH03,2024-02-09,2024-02-14,59
TRF00104,SKU061,WH02,WH05,2024-02-09,2024-02-11,29
TRF00105,SKU197,WH05,WH03,2024-02-09,2024-02-17,105
TRF00106,SKU272,WH03,WH01,2024-02-09,2024-02-17,23
TRF00107,SKU229,WH03,WH04,2024-02-10,2024-02-18,118
TRF00108,SKU124,WH02,WH01,2024-02-10,2024-02-19,90
TRF00109,SKU279,WH04,WH01,2024-02-10,2024-02-19,24
TRF00110,SKU130,WH03,WH01,2024-02-10,2024-02-19,106
TRF00111,SKU331,WH02,WH01,2024-02-10,2024-02-14,39
TRF00112,SKU200,WH03,WH05,2024-02-10,2024-02-15,24
TRF00113,SKU161,WH02,WH03,2024-02-10,2024-02-19,84
TRF00114,SKU243,WH03,WH04,2024-02-11,2024-02-16,85
TRF00115,SKU288,WH04,WH05,2024-02-12,2024-02-21,63
TRF00116,SKU060,WH05,WH03,2024-02-12,2024-02-18,20
TRF00117,SKU243,WH04,WH05,2024-02-12,2024-02-19,76
TRF00118,SKU390,WH03,WH01,2024-02-12,2024-02-18,100
TRF00119,SKU348,WH05,WH01,2024-02-12,2024-02-15,90
TRF00120,SKU222,WH05,WH02,2024-02-13,2024-02-17,31
TRF00121,SKU343,WH05,WH01,2024-02-13,2024-02-20,79
TRF00122,SKU386,WH03,WH04,2024-02-13,2024-02-18,20
TRF00123,SKU277,WH05,WH04,2024-02-13,2024-02-22,36
TRF00124,SKU072,WH05,WH01,2024-02-13,2024-02-17,102
TRF00125,SKU155,WH03,WH04,2024-02-13,2024-02-16,62
TRF00126,SKU272,WH01,WH03,2024-02-13,2024-02-18,90
TRF00127,SKU250,WH02,WH04,2024-02-13,2024-02-19,59
TRF00128,SKU070,WH01,WH03,2024-02-13,2024-02-19,115
TRF00129,SKU378,WH05,WH04,2024-02-14,2024-02-21,66
TRF00130,SKU269,WH02,WH04,2024-02-14,2024-02-17,58
TRF00131,SKU098,WH01,WH04,2024-02-14,2024-02-23,88
TRF00132,SKU213,WH03,WH04,2024-02-14,2024-02-16,113
TRF00133,SKU249,WH01,WH04,2024-02-16,2024-02-18,116
TRF00134,SKU236,WH04,WH03,2024-02-16,2024-02-18,73
TRF00135,SKU091,WH04,WH05,2024-02-16,2024-02-19,91
TRF00136,SKU395,WH04,WH05,2024-02-17,2024-02-26,76
TRF00137,SKU012,WH05,WH02,2024-02-17,2024-02-19,34
TRF00138,SKU049,WH04,WH02,2024-02-17,2024-02-24,58
TRF00139,SKU056,WH02,WH03,2024-02-17,2024-02-24,113
TRF00140,SKU270,WH01,WH03,2024-02-17,2024-02-21,71
TRF00141,SKU300,WH02,WH04,2024-02-17,2024-02-23,48
TRF00142,SKU264,WH05,WH03,2024-02-17,2024-02-26,100
TRF00143,SKU247,WH01,WH02,2024-02-18,2024-02-23,99
TRF00144,SKU184,WH02,WH03,2024-02-18,2024-02-26,33
TRF00145,SKU277,WH02,WH04,2024-02-18,2024-02-21,91
TRF00146,SKU379,WH01,WH05,2024-02-18,2024-02-26,26
TRF00147,SKU333,WH04,WH02,2024-02-18,2024-02-26,111
TRF00148,SKU265,WH01,WH03,2024-02-18,2024-02-25,105
TRF00149,SKU025,WH01,WH02,2024-02-18,2024-02-25,109
TRF00150,SKU341,WH03,WH05,2024-02-19,2024-02-28,62
TRF00151,SKU227,WH02,WH03,2024-02-19,2024-02-25,68
TRF00152,SKU343,WH02,WH04,2024-02-19,2024-02-22,78
TRF00153,SKU395,WH04,WH05,2024-02-19,2024-02-28,94
TRF00154,SKU005,WH04,WH05,2024-02-19,2024-02-26,68
TRF00155,SKU374,WH04,WH01,2024-02-19,2024-02-27,112
TRF00156,SKU360,WH02,WH03,2024-02-19,2024-02-25,88
TRF00157,SKU094,WH02,WH04,2024-02-20,2024-02-26,100
TRF00158,SKU292,WH01,WH02,2024-02-20,2024-02-24,111
TRF00159,SKU393,WH02,WH04,2024-02-20,2024-02-27,78
TRF00160,SKU314,WH02,WH03,2024-02-21,2024-02-24,95
TRF00161,SKU329,WH04,WH02,2024-02-21,2024-02-27,50
TRF00162,SKU075,WH03,WH05,2024-02-21,2024-03-01,26
TRF00163,SKU363,WH02,WH01,2024-02-21,2024-02-27,20
TRF00164,SKU192,WH04,WH01,2024-02-21,2024-02-25,86
TRF00165,SKU315,WH05,WH03,2024-02-21,2024-02-28,95
TRF00166,SKU360,WH03,WH01,2024-02-22,2024-02-25,119
TRF00167,SKU149,WH01,WH03,2024-02-22,2024-02-27,22
TRF00168,SKU190,WH04,WH03,2024-02-22,2024-02-27,58
TRF00169,SKU166,WH04,WH03,2024-02-22,2024-02-26,113
TRF00170,SKU025,WH01,WH02,2024-02-22,2024-03-02,78
TRF00171,SKU105,WH02,WH04,2024-02-22,2024-02-29,68
TRF00172,SKU022,WH03,WH05,2024-02-23,2024-02-28,55
TRF00173,SKU350,WH02,WH03,2024-02-23,2024-02-29,90
TRF00174,SKU060,WH03,WH05,2024-02-23,2024-03-02,54
TRF00175,SKU195,WH03,WH05,2024-02-23,2024-02-26,97
TRF00176,SKU193,WH02,WH01,2024-02-23,2024-02-29,61
TRF00177,SKU074,WH05,WH03,2024-02-23,2024-02-29,55
TRF00178,SKU320,WH05,WH02,2024-02-24,2024-02-27,32
TRF00179,SKU256,WH03,WH02,2024-02-24,2024-02-26,34
TRF00180,SKU170,WH03,WH05,2024-02-24,2024-03-02,28
TRF00181,SKU045,WH01,WH03,2024-02-24,2024-02-27,90
TRF00182,SKU221,WH04,WH03,2024-02-25,2024-02-28,67
TRF00183,SKU153,WH05,WH03,2024-02-25,2024-03-04,77
TRF00184,SKU362,WH05,WH02,2024-02-25,2024-03-05,91
TRF00185,SKU262,WH02,WH03,2024-02-25,2024-03-05,92
TRF00186,SKU011,WH01,WH04,2024-02-25,2024-02-28,52
TRF00187,SKU302,WH04,WH02,2024-02-25,2024-02-27,51
TRF00188,SKU204,WH03,WH05,2024-02-26,2024-03-06,65
TRF00189,SKU010,WH02,WH01,2024-02-26,2024-03-04,36
TRF00190,SKU114,WH04,WH05,2024-02-26,2024-03-01,52
TRF00191,SKU309,WH04,WH03,2024-02-26,2024-03-01,82
TRF00192,SKU017,WH04,WH03,2024-02-26,2024-03-06,59
TRF00193,SKU278,WH03,WH02,2024-02-27,2024-03-01,117
TRF00194,SKU019,WH01,WH05,2024-02-27,2024-03-05,62
TRF00195,SKU220,WH05,WH02,2024-02-27,2024-02-29,79
TRF00196,SKU246,WH01,WH05,2024-02-27,2024-03-04,57
TRF00197,SKU006,WH03,WH04,2024-02-27,2024-03-03,32
TRF00198,SKU090,WH05,WH01,2024-02-28,2024-03-02,88
TRF00199,SKU293,WH02,WH01,2024-02-28,2024-03-01,45
TRF00200,SKU304,WH01,WH05,2024-02-28,2024-03-03,111
TRF00201,SKU321,WH02,WH05,2024-02-28,2024-03-07,93
TRF00202,SKU284,WH04,WH03,2024-02-28,2024-03-05,58
TRF00203,SKU173,WH01,WH03,2024-02-29,2024-03-07,39
TRF00204,SKU215,WH05,WH03,2024-02-29,2024-03-05,23
TRF00205,SKU047,WH01,WH02,2024-02-29,2024-03-06,37
TRF00206,SKU250,WH01,WH03,2024-02-29,2024-03-09,83
TRF00207,SKU262,WH03,WH02,2024-02-29,2024-03-07,40
TRF00208,SKU362,WH02,WH03,2024-03-01,2024-03-09,23
TRF00209,SKU296,WH01,WH03,2024-03-01,2024-03-07,89
TRF00210,SKU260,WH04,WH05,2024-03-01,2024-03-07,79
TRF00211,SKU120,WH03,WH01,2024-03-01,2024-03-04,52
TRF00212,SKU251,WH04,WH03,2024-03-01,2024-03-04,23
TRF00213,SKU002,WH01,WH03,2024-03-01,2024-03-07,77
TRF00214,SKU014,WH01,WH05,2024-03-01,2024-03-04,90
TRF00215,SKU154,WH04,WH05,2024-03-01,2024-03-04,108
TRF00216,SKU303,WH05,WH04,2024-03-01,2024-03-05,118
TRF00217,SKU056,WH02,WH05,2024-03-02,2024-03-11,37
TRF00218,SKU052,WH01,WH02,2024-03-02,2024-03-10,19
TRF00219,SKU254,WH05,WH01,2024-03-02,2024-03-09,28
TRF00220,SKU271,WH05,WH01,2024-03-03,2024-03-08,42
TRF00221,SKU363,WH04,WH01,2024-03-03,2024-03-10,96
TRF00222,SKU225,WH03,WH04,2024-03-03,2024-03-11,91
TRF00223,SKU280,WH01,WH04,2024-03-04,2024-03-12,66
TRF00224,SKU079,WH02,WH05,2024-03-04,2024-03-10,34
TRF00225,SKU205,WH02,WH01,2024-03-04,2024-03-12,77
TRF00226,SKU025,WH03,WH02,2024-03-04,2024-03-06,32
TRF00227,SKU178,WH05,WH02,2024-03-04,2024-03-09,37
TRF00228,SKU116,WH01,WH03,2024-03-04,2024-03-13,63
TRF00229,SKU163,WH04,WH02,2024-03-04,2024-03-06,52
TRF00230,SKU104,WH03,WH05,2024-03-04,2024-03-12,67
TRF00231,SKU223,WH01,WH02,2024-03-04,2024-03-10,35
TRF00232,SKU212,WH02,WH03,2024-03-04,2024-03-10,91
TRF00233,SKU267,WH03,WH05,2024-03-05,2024-03-11,77
TRF00234,SKU025,WH01,WH02,2024-03-05,2024-03-09,28
TRF00235,SKU228,WH05,WH03,2024-03-05,2024-03-13,48
TRF00236,SKU386,WH04,WH03,2024-03-05,2024-03-12,81
TRF00237,SKU335,WH03,WH02,2024-03-06,2024-03-14,39
TRF00238,SKU266,WH05,WH03,2024-03-06,2024-03-11,32
TRF00239,SKU250,WH02,WH03,2024-03-06,2024-03-14,65
TRF00240,SKU347,WH01,WH04,2024-03-06,2024-03-10,52
TRF00241,SKU266,WH04,WH03,2024-03-06,2024-03-11,110
TRF00242,SKU156,WH03,WH01,2024-03-07,2024-03-14,51
TRF00243,SKU227,WH02,WH01,2024-03-07,2024-03-15,61
TRF00244,SKU186,WH02,WH04,2024-03-07,2024-03-11,34
TRF00245,SKU157,WH05,WH01,2024-03-08,2024-03-17,108
TRF00246,SKU037,WH04,WH05,2024-03-08,2024-03-17,33
TRF00247,SKU136,WH01,WH03,2024-03-08,2024-03-14,47
TRF00248,SKU314,WH01,WH03,2024-03-08,2024-03-12,46
TRF00249,SKU273,WH05,WH01,2024-03-09,2024-03-11,88
TRF00250,SKU021,WH01,WH02,2024-03-09,2024-03-16,66
TRF00251,SKU181,WH02,WH03,2024-03-09,2024-03-17,119
TRF00252,SKU227,WH02,WH03,2024-03-09,2024-03-18,67
TRF00253,SKU357,WH05,WH03,2024-03-09,2024-03-15,59
TRF00254,SKU290,WH03,WH05,2024-03-10,2024-03-16,81
TRF00255,SKU086,WH02,WH05,2024-03-10,2024-03-19,47
TRF00256,SKU312,WH04,WH02,2024-03-10,2024-03-16,106
TRF00257,SKU131,WH05,WH03,2024-03-10,2024-03-13,33
TRF00258,SKU033,WH05,WH02,2024-03-10,2024-03-15,43
TRF00259,SKU281,WH01,WH03,2024-03-11,2024-03-15,50
TRF00260,SKU194,WH03,WH04,2024-03-11,2024-03-17,78
TRF00261,SKU310,WH05,WH04,2024-03-11,2024-03-17,115
TRF00262,SKU008,WH01,WH05,2024-03-11,2024-03-20,67
TRF00263,SKU340,WH04,WH03,2024-03-11,2024-03-18,38
TRF00264,SKU250,WH03,WH01,2024-03-12,2024-03-19,103
TRF00265,SKU264,WH02,WH03,2024-03-12,2024-03-14,19
TRF00266,SKU084,WH02,WH03,2024-03-12,2024-03-14,21
TRF00267,SKU277,WH04,WH01,2024-03-13,2024-03-15,42
TRF00268,SKU011,WH04,WH03,2024-03-13,2024-03-15,61
TRF00269,SKU393,WH02,WH04,2024-03-13,2024-03-22,64
TRF00270,SKU209,WH01,WH05,2024-03-14,2024-03-20,35
TRF00271,SKU381,WH03,WH01,2024-03-14,2024-03-21,85
TRF00272,SKU285,WH05,WH04,2024-03-14,2024-03-20,76
TRF00273,SKU042,WH02,WH04,2024-03-15,2024-03-20,79
TRF00274,SKU184,WH03,WH01,2024-03-15,2024-03-23,98
TRF00275,SKU125,WH04,WH03,2024-03-16,2024-03-18,52
TRF00276,SKU053,WH04,WH03,2024-03-16,2024-03-25,32
TRF00277,SKU103,WH02,WH03,2024-03-16,2024-03-22,21
TRF00278,SKU082,WH01,WH02,2024-03-16,2024-03-24,88
TRF00279,SKU371,WH05,WH01,2024-03-16,2024-03-21,110
TRF00280,SKU380,WH02,WH05,2024-03-17,2024-03-19,90
TRF00281,SKU337,WH02,WH03,2024-03-17,2024-03-21,72
TRF00282,SKU123,WH02,WH05,2024-03-17,2024-03-26,43
TRF00283,SKU367,WH02,WH03,2024-03-17,2024-03-26,118
TRF00284,SKU201,WH02,WH04,2024-03-17,2024-03-23,37
TRF00285,SKU055,WH02,WH03,2024-03-17,2024-03-19,55
TRF00286,SKU146,WH05,WH04,2024-03-17,2024-03-24,94
TRF00287,SKU189,WH02,WH04,2024-03-18,2024-03-21,20
TRF00288,SKU069,WH02,WH01,2024-03-18,2024-03-23,79
TRF00289,SKU182,WH01,WH02,2024-03-18,2024-03-23,24
TRF00290,SKU187,WH01,WH02,2024-03-18,2024-03-20,113
TRF00291,SKU172,WH04,WH05,2024-03-18,2024-03-25,50
TRF00292,SKU017,WH04,WH02,2024-03-18,2024-03-25,110
TRF00293,SKU080,WH05,WH04,2024-03-18,2024-03-20,57
TRF00294,SKU040,WH02,WH05,2024-03-19,2024-03-23,96
TRF00295,SKU231,WH02,WH01,2024-03-19,2024-03-28,58
TRF00296,SKU086,WH05,WH02,2024-03-19,2024-03-26,34
TRF00297,SKU081,WH03,WH04,2024-03-19,2024-03-21,56
TRF00298,SKU360,WH03,WH02,2024-03-19,2024-03-21,66
TRF00299,SKU211,WH03,WH02,2024-03-19,2024-03-25,111
TRF00300,SKU285,WH04,WH03,2024-03-20,2024-03-28,116
TRF00301,SKU366,WH05,WH01,2024-03-20,2024-03-23,104
TRF00302,SKU246,WH05,WH01,2024-03-20,2024-03-27,55
TRF00303,SKU228,WH03,WH05,2024-03-20,2024-03-22,98
TRF00304,SKU272,WH03,WH01,2024-03-20,2024-03-22,119
TRF00305,SKU107,WH02,WH04,2024-03-20,2024-03-23,52
TRF00306,SKU247,WH02,WH01,2024-03-20,2024-03-25,102
TRF00307,SKU042,WH02,WH05,2024-03-21,2024-03-26,110
TRF00308,SKU137,WH01,WH03,2024-03-21,2024-03-26,67
TRF00309,SKU212,WH02,WH03,2024-03-21,2024-03-24,98
TRF00310,SKU382,WH04,WH02,2024-03-21,2024-03-25,75
TRF00311,SKU231,WH01,WH02,2024-03-21,2024-03-30,80
TRF00312,SKU169,WH05,WH02,2024-03-21,2024-03-29,103
TRF00313,SKU378,WH04,WH05,2024-03-21,2024-03-30,61
TRF00314,SKU011,WH03,WH01,2024-03-21,2024-03-29,41
TRF00315,SKU093,WH03,WH04,2024-03-21,2024-03-23,33
TRF00316,SKU267,WH03,WH04,2024-03-22,2024-03-25,22
TRF00317,SKU152,WH04,WH03,2024-03-22,2024-03-29,53
TRF00318,SKU120,WH03,WH01,2024-03-22,2024-03-29,44
TRF00319,SKU193,WH01,WH02,2024-03-22,2024-03-30,27
TRF00320,SKU051,WH02,WH03,2024-03-23,2024-03-28,113
TRF00321,SKU338,WH02,WH04,2024-03-23,2024-03-27,59
TRF00322,SKU260,WH04,WH02,2024-03-24,2024-04-02,109
TRF00323,SKU101,WH01,WH03,2024-03-24,2024-03-26,31
TRF00324,SKU206,WH01,WH03,2024-03-24,2024-03-30,104
TRF00325,SKU386,WH04,WH03,2024-03-25,2024-03-29,30
TRF00326,SKU268,WH04,WH03,2024-03-25,2024-03-28,84
TRF00327,SKU400,WH01,WH02,2024-03-26,2024-04-02,87
TRF00328,SKU019,WH05,WH03,2024-03-26,2024-04-01,20
TRF00329,SKU318,WH02,WH03,2024-03-27,2024-03-29,53
TRF00330,SKU043,WH04,WH03,2024-03-27,2024-04-03,73
TRF00331,SKU138,WH03,WH01,2024-03-27,2024-03-29,29
TRF00332,SKU204,WH04,WH05,2024-03-27,2024-03-29,30
TRF00333,SKU037,WH05,WH04,2024-03-28,2024-03-31,65
TRF00334,SKU296,WH01,WH03,2024-03-28,2024-04-01,48
TRF00335,SKU352,WH05,WH04,2024-03-28,2024-04-05,78
TRF00336,SKU179,WH01,WH03,2024-03-29,2024-04-06,26
TRF00337,SKU370,WH03,WH05,2024-03-29,2024-04-04,79
TRF00338,SKU311,WH01,WH03,2024-03-29,2024-04-04,34
TRF00339,SKU245,WH01,WH03,2024-03-29,2024-04-06,74
TRF00340,SKU021,WH05,WH01,2024-03-29,2024-04-04,63
TRF00341,SKU205,WH01,WH02,2024-03-29,2024-04-05,110
TRF00342,SKU232,WH03,WH01,2024-03-29,2024-03-31,57
TRF00343,SKU170,WH02,WH05,2024-03-30,2024-04-02,20
TRF00344,SKU140,WH05,WH01,2024-03-30,2024-04-07,89
TRF00345,SKU248,WH04,WH03,2024-03-30,2024-04-01,64
TRF00346,SKU179,WH05,WH03,2024-03-30,2024-04-04,50
TRF00347,SKU040,WH05,WH01,2024-03-31,2024-04-06,105
TRF00348,SKU246,WH05,WH01,2024-03-31,2024-04-06,93
TRF00349,SKU310,WH03,WH04,2024-03-31,2024-04-08,104
TRF00350,SKU022,WH04,WH05,2024-03-31,2024-04-02,39
TRF00351,SKU168,WH01,WH05,2024-03-31,2024-04-05,89
TRF00352,SKU318,WH02,WH03,2024-03-31,2024-04-09,105
TRF00353,SKU135,WH05,WH03,2024-03-31,2024-04-07,80
TRF00354,SKU023,WH03,WH04,2024-03-31,2024-04-07,68
TRF00355,SKU287,WH01,WH03,2024-04-01,2024-04-07,109
TRF00356,SKU045,WH05,WH01,2024-04-01,2024-04-07,99
TRF00357,SKU273,WH05,WH01,2024-04-02,2024-04-08,74
TRF00358,SKU072,WH04,WH01,2024-04-02,2024-04-08,90
TRF00359,SKU185,WH05,WH03,2024-04-02,2024-04-07,48
TRF00360,SKU368,WH04,WH01,2024-04-02,2024-04-11,108
TRF00361,SKU283,WH04,WH05,2024-04-03,2024-04-05,47
TRF00362,SKU286,WH04,WH02,2024-04-03,2024-04-12,35
TRF00363,SKU221,WH03,WH01,2024-04-03,2024-04-05,27
TRF00364,SKU343,WH04,WH01,2024-04-03,2024-04-10,62
TRF00365,SKU125,WH03,WH04,2024-04-03,2024-04-10,33
TRF00366,SKU325,WH01,WH05,2024-04-04,2024-04-10,112
TRF00367,SKU167,WH05,WH03,2024-04-04,2024-04-11,83
TRF00368,SKU305,WH05,WH03,2024-04-05,2024-04-08,24
TRF00369,SKU255,WH01,WH03,2024-04-05,2024-04-14,90
TRF00370,SKU075,WH03,WH05,2024-04-05,2024-04-13,104
TRF00371,SKU262,WH03,WH02,2024-04-05,2024-04-09,82
TRF00372,SKU272,WH03,WH01,2024-04-05,2024-04-13,50
TRF00373,SKU028,WH05,WH01,2024-04-05,2024-04-10,83
TRF00374,SKU282,WH05,WH04,2024-04-05,2024-04-08,22
TRF00375,SKU270,WH01,WH02,2024-04-05,2024-04-07,34
TRF00376,SKU365,WH02,WH03,2024-04-05,2024-04-11,27
TRF00377,SKU192,WH02,WH01,2024-04-06,2024-04-15,79
TRF00378,SKU223,WH02,WH01,2024-04-06,2024-04-15,115
TRF00379,SKU211,WH01,WH03,2024-04-06,2024-04-14,108
TRF00380,SKU298,WH01,WH02,2024-04-07,2024-04-09,58
TRF00381,SKU051,WH02,WH03,2024-04-08,2024-04-13,89
TRF00382,SKU218,WH01,WH05,2024-04-08,2024-04-10,29
TRF00383,SKU112,WH01,WH04,2024-04-08,2024-04-13,68
TRF00384,SKU319,WH02,WH04,2024-04-08,2024-04-17,114
TRF00385,SKU175,WH01,WH05,2024-04-08,2024-04-13,83
TRF00386,SKU162,WH01,WH05,2024-04-08,2024-04-10,81
TRF00387,SKU096,WH05,WH02,2024-04-08,2024-04-15,107
TRF00388,SKU086,WH02,WH01,2024-04-08,2024-04-12,63
TRF00389,SKU134,WH03,WH02,2024-04-08,2024-04-17,22
TRF00390,SKU040,WH01,WH02,2024-04-09,2024-04-16,113
TRF00391,SKU359,WH02,WH04,2024-04-09,2024-04-12,64
TRF00392,SKU086,WH05,WH02,2024-04-09,2024-04-11,70
TRF00393,SKU199,WH02,WH05,2024-04-09,2024-04-13,41
TRF00394,SKU041,WH01,WH04,2024-04-09,2024-04-13,50
TRF00395,SKU228,WH03,WH05,2024-04-09,2024-04-18,63
TRF00396,SKU197,WH05,WH03,2024-04-09,2024-04-12,110
TRF00397,SKU338,WH03,WH02,2024-04-09,2024-04-17,72
