worker_id,name,hire_date,employment_type,home_zone_id,is_trainer
W141,Nancy Sanchez,2024-01-19,temp,Z05,False
W142,Michael Davis,2024-04-23,temp,Z04,False
W143,Richard Miller,2024-06-10,temp,Z03,False
W144,Paul Anderson,2023-11-30,temp,Z09,False
W145,William Wilson,2023-07-18,temp,Z09,False
W146,Susan Rodriguez,2023-08-31,temp,Z10,False
W147,Ashley Davis,2023-04-07,temp,Z03,False
W148,Robert Anderson,2024-05-26,temp,Z06,False
W149,Emily Brown,2024-04-08,temp,Z03,False
W150,Patricia Lee,2024-04-12,temp,Z11,False
