employee_id,business_unit_id,name,role_level,hire_date,termination_date,manager_id,location
EMP-0033,BU-01,Wren Smith,L4,2019-07-01,2024-05-30,MGR-BU-01-16,Singapore
EMP-0034,BU-01,Xander Smith,L2,2022-07-29,2024-07-02,MGR-BU-01-19,Tokyo
EMP-0035,BU-01,Yael Smith,L2,2019-06-09,2024-11-06,MGR-BU-01-20,Amsterdam
EMP-0036,BU-01,Zara Smith,L2,2019-11-23,,MGR-BU-01-11,Amsterdam
EMP-0037,BU-01,Ash Smith,L2,2023-03-22,,MGR-BU-01-13,Sydney
EMP-0038,BU-01,Bay Smith,L1,2020-09-26,2024-08-29,MGR-BU-01-07,Dublin
EMP-0039,BU-01,Cedar Smith,L2,2023-08-13,,MGR-BU-01-08,New York
EMP-0040,BU-01,Devon Smith,L3,2022-12-20,2024-12-12,MGR-BU-01-17,Amsterdam
EMP-0041,BU-01,Alex Johnson,L2,2020-03-31,2024-07-19,MGR-BU-01-03,Dublin
EMP-0042,BU-01,Jordan Johnson,L1,2020-12-07,2024-05-24,MGR-BU-01-16,London
EMP-0043,BU-01,Morgan Johnson,L1,2020-06-18,2024-11-30,MGR-BU-01-16,Sydney
EMP-0044,BU-01,Taylor Johnson,L1,2021-11-15,2023-11-09,MGR-BU-01-19,New York
EMP-0045,BU-01,Casey Johnson,L3,2019-01-14,2024-02-18,MGR-BU-01-08,London
EMP-0046,BU-01,Riley Johnson,L4,2021-01-13,,MGR-BU-01-18,Frankfurt
EMP-0047,BU-01,Avery Johnson,L2,2022-12-21,2024-10-13,MGR-BU-01-13,Amsterdam
EMP-0048,BU-01,Quinn Johnson,L2,2021-08-19,2024-04-19,MGR-BU-01-12,Chicago
EMP-0049,BU-01,Skylar Johnson,L1,2019-02-12,2024-11-28,MGR-BU-01-17,New York
EMP-0050,BU-01,Peyton Johnson,L4,2023-01-05,2024-11-03,MGR-BU-01-05,Dublin
EMP-0051,BU-01,Drew Johnson,L3,2020-10-23,2024-07-02,MGR-BU-01-13,Sydney
EMP-0052,BU-01,Reese Johnson,L3,2021-11-15,,MGR-BU-01-11,Amsterdam
EMP-0053,BU-01,Blake Johnson,L4,2021-01-23,2025-01-03,MGR-BU-01-15,Tokyo
EMP-0054,BU-01,Cameron Johnson,L3,2021-10-06,2024-05-25,MGR-BU-01-19,New York
EMP-0055,BU-01,Logan Johnson,L3,2019-12-22,2024-04-13,MGR-BU-01-09,Frankfurt
EMP-0056,BU-01,Harper Johnson,L4,2019-04-18,,MGR-BU-01-02,Toronto
EMP-0057,BU-01,Emerson Johnson,L1,2022-12-30,2024-02-08,MGR-BU-01-14,Chicago
EMP-0058,BU-01,Finley Johnson,L1,2022-06-30,2025-03-17,MGR-BU-01-04,Tokyo
EMP-0059,BU-01,Rowan Johnson,L2,2019-01-31,2025-02-07,MGR-BU-01-19,Chicago
EMP-0060,BU-01,Sasha Johnson,L4,2019-07-30,2024-09-19,MGR-BU-01-15,Toronto
EMP-0061,BU-01,Dakota Johnson,L3,2021-10-17,2024-08-16,MGR-BU-01-11,Toronto
EMP-0062,BU-01,Jamie Johnson,L4,2020-04-13,,MGR-BU-01-19,Sydney
EMP-0063,BU-01,Kendall Johnson,L5,2023-04-05,2024-02-11,MGR-BU-01-14,Dublin
EMP-0064,BU-01,Lee Johnson,L1,2019-12-19,2025-02-08,MGR-BU-01-01,Singapore
EMP-0065,BU-01,Micah Johnson,L1,2020-03-22,2024-09-04,MGR-BU-01-05,Tokyo
EMP-0066,BU-01,Noel Johnson,L3,2021-12-18,2025-03-26,MGR-BU-01-19,Dublin
EMP-0067,BU-01,Parker Johnson,L2,2020-10-08,,MGR-BU-01-08,Chicago
EMP-0068,BU-01,Robin Johnson,L2,2021-01-15,2024-11-08,MGR-BU-01-12,New York
EMP-0069,BU-01,Sam Johnson,L2,2021-01-08,2024-11-06,MGR-BU-01-19,New York
EMP-0070,BU-01,Tatum Johnson,L2,2022-02-24,2024-06-11,MGR-BU-01-08,Amsterdam
EMP-0071,BU-01,Uma Johnson,L3,2022-03-06,2024-05-18,MGR-BU-01-04,New York
EMP-0072,BU-01,Val Johnson,L2,2023-05-11,2023-08-24,MGR-BU-01-20,London
EMP-0073,BU-01,Wren Johnson,L4,2021-07-05,2024-05-07,MGR-BU-01-16,Chicago
EMP-0074,BU-01,Xander Johnson,L1,2021-06-26,2024-07-11,MGR-BU-01-05,Frankfurt
EMP-0075,BU-01,Yael Johnson,L2,2023-06-27,2024-10-08,MGR-BU-01-10,London
EMP-0076,BU-01,Zara Johnson,L5,2023-09-19,2024-04-17,MGR-BU-01-10,Singapore
EMP-0077,BU-01,Ash Johnson,L1,2020-07-22,2024-11-24,MGR-BU-01-10,Singapore
EMP-0078,BU-01,Bay Johnson,L4,2023-04-01,2023-09-24,MGR-BU-01-06,Chicago
EMP-0079,BU-01,Cedar Johnson,L5,2020-02-01,2025-02-14,MGR-BU-01-19,Toronto
EMP-0080,BU-01,Devon Johnson,L5,2019-02-02,,MGR-BU-01-12,New York
EMP-0081,BU-01,Alex Williams,L2,2023-02-06,2024-08-28,MGR-BU-01-05,Sydney
EMP-0082,BU-01,Jordan Williams,L4,2023-04-18,2024-09-02,MGR-BU-01-15,Toronto
EMP-0083,BU-01,Morgan Williams,L1,2021-11-04,,MGR-BU-01-11,New York
EMP-0084,BU-01,Taylor Williams,L1,2022-07-21,,MGR-BU-01-03,Dublin
EMP-0085,BU-01,Casey Williams,L3,2020-12-24,2024-08-15,MGR-BU-01-15,Singapore
EMP-0086,BU-01,Riley Williams,L2,2021-12-28,2025-02-03,MGR-BU-01-03,Amsterdam
EMP-0087,BU-01,Avery Williams,L2,2023-08-12,,MGR-BU-01-16,Toronto
EMP-0088,BU-01,Quinn Williams,L4,2021-10-25,2025-03-09,MGR-BU-01-03,Amsterdam
EMP-0089,BU-01,Skylar Williams,L2,2023-04-12,,MGR-BU-01-04,Dublin
EMP-0090,BU-01,Peyton Williams,L2,2022-11-26,2024-11-11,MGR-BU-01-02,Frankfurt
EMP-0091,BU-01,Drew Williams,L3,2022-08-04,2024-06-07,MGR-BU-01-03,Dublin
EMP-0092,BU-01,Reese Williams,L2,2021-08-22,2023-06-02,MGR-BU-01-11,Sydney
EMP-0093,BU-01,Blake Williams,L2,2022-08-06,2023-04-11,MGR-BU-01-06,London
EMP-0094,BU-01,Cameron Williams,L4,2019-04-17,2024-04-14,MGR-BU-01-01,Amsterdam
EMP-0095,BU-01,Logan Williams,L2,2021-04-18,2024-07-29,MGR-BU-01-10,Sydney
EMP-0096,BU-01,Harper Williams,L2,2021-03-17,2024-08-22,MGR-BU-01-08,London
EMP-0097,BU-01,Emerson Williams,L5,2022-01-17,,MGR-BU-01-03,New York
EMP-0098,BU-01,Finley Williams,L1,2019-10-17,2024-09-23,MGR-BU-01-20,Chicago
EMP-0099,BU-01,Rowan Williams,L2,2021-02-14,,MGR-BU-01-04,Singapore
EMP-0100,BU-01,Sasha Williams,L1,2023-08-12,2025-02-13,MGR-BU-01-04,Tokyo
EMP-0101,BU-01,Dakota Williams,L3,2023-10-01,,MGR-BU-01-07,New York
EMP-0102,BU-01,Jamie Williams,L3,2021-07-29,2023-07-10,MGR-BU-01-09,Toronto
EMP-0103,BU-01,Kendall Williams,L4,2019-10-08,2024-06-08,MGR-BU-01-20,Dublin
EMP-0104,BU-01,Lee Williams,L1,2021-12-29,2024-12-26,MGR-BU-01-10,Dublin
EMP-0105,BU-01,Micah Williams,L1,2020-07-07,2025-03-02,MGR-BU-01-07,Tokyo
EMP-0106,BU-01,Noel Williams,L3,2023-06-26,2024-08-03,MGR-BU-01-16,New York
EMP-0107,BU-01,Parker Williams,L2,2020-09-23,2024-12-30,MGR-BU-01-16,Singapore
EMP-0108,BU-01,Robin Williams,L3,2021-11-26,2023-01-29,MGR-BU-01-09,Amsterdam
EMP-0109,BU-01,Sam Williams,L2,2021-02-17,2024-04-01,MGR-BU-01-20,Dublin
EMP-0110,BU-01,Tatum Williams,L1,2021-11-13,2024-04-23,MGR-BU-01-10,Frankfurt
EMP-0111,BU-01,Uma Williams,L2,2020-01-06,2024-05-26,MGR-BU-01-13,London
EMP-0112,BU-01,Val Williams,L3,2020-09-05,2025-03-02,MGR-BU-01-07,Amsterdam
EMP-0113,BU-01,Wren Williams,L3,2022-04-26,2024-09-15,MGR-BU-01-14,New York
EMP-0114,BU-01,Xander Williams,L2,2020-11-02,2024-09-20,MGR-BU-01-20,Sydney
EMP-0115,BU-01,Yael Williams,L4,2023-04-29,2024-06-04,MGR-BU-01-14,Sydney
EMP-0116,BU-01,Zara Williams,L4,2021-12-16,2023-12-08,MGR-BU-01-09,Amsterdam
EMP-0117,BU-01,Ash Williams,L5,2020-03-12,,MGR-BU-01-10,Sydney
EMP-0118,BU-01,Bay Williams,L2,2020-08-14,2024-12-30,MGR-BU-01-08,Tokyo
EMP-0119,BU-01,Cedar Williams,L3,2022-01-06,2024-12-17,MGR-BU-01-08,Frankfurt
EMP-0120,BU-01,Devon Williams,L3,2021-11-16,2023-02-08,MGR-BU-01-12,Sydney
EMP-0121,BU-01,Alex Brown,L2,2021-06-08,2023-04-09,MGR-BU-01-04,Toronto
EMP-0122,BU-01,Jordan Brown,L2,2022-02-17,2024-08-25,MGR-BU-01-10,Frankfurt
EMP-0123,BU-01,Morgan Brown,L1,2023-02-27,2024-07-04,MGR-BU-01-07,Toronto
EMP-0124,BU-01,Taylor Brown,L3,2020-08-22,2024-05-18,MGR-BU-01-07,New York
EMP-0125,BU-01,Casey Brown,L1,2022-03-16,2025-02-17,MGR-BU-01-04,Amsterdam
EMP-0126,BU-01,Riley Brown,L2,2019-04-17,,MGR-BU-01-18,Tokyo
EMP-0127,BU-01,Avery Brown,L2,2022-10-11,2023-04-29,MGR-BU-01-03,Amsterdam
EMP-0128,BU-01,Quinn Brown,L2,2023-02-05,,MGR-BU-01-06,Toronto
EMP-0129,BU-01,Skylar Brown,L2,2019-05-31,,MGR-BU-01-19,Tokyo
EMP-0130,BU-01,Peyton Brown,L3,2021-03-07,,MGR-BU-01-16,Tokyo
EMP-0131,BU-01,Drew Brown,L2,2020-12-27,,MGR-BU-01-13,Chicago
EMP-0132,BU-01,Reese Brown,L2,2020-10-13,,MGR-BU-01-15,Tokyo
EMP-0133,BU-01,Blake Brown,L3,2021-11-09,2024-10-07,MGR-BU-01-11,New York
EMP-0134,BU-01,Cameron Brown,L4,2021-11-08,2024-02-17,MGR-BU-01-20,Toronto
EMP-0135,BU-01,Logan Brown,L5,2021-08-24,2024-08-10,MGR-BU-01-17,Dublin
EMP-0136,BU-01,Harper Brown,L3,2022-03-13,,MGR-BU-01-07,Amsterdam
EMP-0137,BU-01,Emerson Brown,L3,2021-06-06,,MGR-BU-01-17,Chicago
EMP-0138,BU-01,Finley Brown,L5,2022-08-06,2025-01-20,MGR-BU-01-20,Tokyo
EMP-0139,BU-01,Rowan Brown,L5,2019-10-01,2024-07-25,MGR-BU-01-01,Amsterdam
EMP-0140,BU-01,Sasha Brown,L4,2020-02-15,2025-03-29,MGR-BU-01-03,Frankfurt
EMP-0141,BU-01,Dakota Brown,L2,2021-08-03,2024-11-14,MGR-BU-01-13,Toronto
EMP-0142,BU-01,Jamie Brown,L2,2022-05-20,2024-11-17,MGR-BU-01-10,Sydney
EMP-0143,BU-01,Kendall Brown,L2,2022-01-13,,MGR-BU-01-09,Toronto
EMP-0144,BU-01,Lee Brown,L4,2019-11-18,,MGR-BU-01-12,London
EMP-0145,BU-01,Micah Brown,L2,2023-09-20,2024-08-12,MGR-BU-01-10,Amsterdam
EMP-0146,BU-01,Noel Brown,L1,2019-10-09,2024-05-19,MGR-BU-01-14,Amsterdam
EMP-0147,BU-01,Parker Brown,L2,2020-11-18,,MGR-BU-01-03,Frankfurt
EMP-0148,BU-01,Robin Brown,L1,2019-01-05,,MGR-BU-01-19,London
EMP-0149,BU-01,Sam Brown,L3,2021-09-30,2024-04-10,MGR-BU-01-18,Tokyo
EMP-0150,BU-01,Tatum Brown,L1,2019-02-05,2024-07-15,MGR-BU-01-19,London
EMP-0151,BU-01,Uma Brown,L2,2020-12-16,,MGR-BU-01-16,Frankfurt
EMP-0152,BU-01,Val Brown,L3,2019-07-21,,MGR-BU-01-10,London
EMP-0153,BU-01,Wren Brown,L1,2020-05-18,,MGR-BU-01-17,London
EMP-0154,BU-01,Xander Brown,L3,2021-05-08,2024-02-10,MGR-BU-01-12,Singapore
EMP-0155,BU-01,Yael Brown,L5,2021-09-01,2023-04-23,MGR-BU-01-14,New York
EMP-0156,BU-01,Zara Brown,L1,2023-08-09,2025-03-30,MGR-BU-01-11,Toronto
EMP-0157,BU-01,Ash Brown,L2,2022-10-25,2023-04-08,MGR-BU-01-20,Singapore
EMP-0158,BU-01,Bay Brown,L1,2022-11-29,2024-09-15,MGR-BU-01-09,Chicago
EMP-0159,BU-01,Cedar Brown,L4,2020-02-18,2024-12-01,MGR-BU-01-08,Toronto
EMP-0160,BU-01,Devon Brown,L2,2019-06-14,2025-01-28,MGR-BU-01-17,Chicago
EMP-0161,BU-01,Alex Jones,L4,2022-08-21,2024-07-27,MGR-BU-01-15,London
EMP-0162,BU-01,Jordan Jones,L1,2022-09-13,2024-09-26,MGR-BU-01-18,Sydney
EMP-0163,BU-01,Morgan Jones,L1,2019-05-29,2025-02-14,MGR-BU-01-02,Chicago
EMP-0164,BU-01,Taylor Jones,L1,2022-06-04,2024-02-17,MGR-BU-01-02,Singapore
EMP-0165,BU-01,Casey Jones,L4,2023-05-06,2024-01-16,MGR-BU-01-09,New York
EMP-0166,BU-01,Riley Jones,L4,2022-02-24,2024-04-13,MGR-BU-01-14,Chicago
EMP-0167,BU-01,Avery Jones,L1,2022-12-16,,MGR-BU-01-02,Dublin
EMP-0168,BU-01,Quinn Jones,L3,2019-11-05,2024-07-07,MGR-BU-01-10,Dublin
EMP-0169,BU-01,Skylar Jones,L2,2023-04-26,2024-04-16,MGR-BU-01-11,Amsterdam
EMP-0170,BU-01,Peyton Jones,L4,2022-09-16,2023-05-28,MGR-BU-01-05,Sydney
EMP-0171,BU-01,Drew Jones,L2,2020-03-11,2024-10-14,MGR-BU-01-07,Chicago
EMP-0172,BU-01,Reese Jones,L2,2021-10-19,,MGR-BU-01-05,Toronto
EMP-0173,BU-01,Blake Jones,L1,2019-03-10,2024-12-30,MGR-BU-01-03,Chicago
EMP-0174,BU-01,Cameron Jones,L4,2022-12-26,2024-06-04,MGR-BU-01-04,New York
EMP-0175,BU-01,Logan Jones,L1,2020-06-07,2024-08-24,MGR-BU-01-20,Tokyo
EMP-0176,BU-01,Harper Jones,L2,2022-11-26,2024-11-24,MGR-BU-01-09,London
EMP-0177,BU-01,Emerson Jones,L4,2019-03-25,2025-02-13,MGR-BU-01-20,Frankfurt
EMP-0178,BU-01,Finley Jones,L3,2020-10-28,2024-06-09,MGR-BU-01-05,Tokyo
EMP-0179,BU-01,Rowan Jones,L3,2022-07-23,2024-07-15,MGR-BU-01-15,Amsterdam
EMP-0180,BU-01,Sasha Jones,L4,2021-02-20,,MGR-BU-01-08,Amsterdam
EMP-0181,BU-01,Dakota Jones,L1,2021-07-20,,MGR-BU-01-01,Tokyo
EMP-0182,BU-01,Jamie Jones,L2,2021-12-27,2024-11-05,MGR-BU-01-10,Singapore
EMP-0183,BU-01,Kendall Jones,L4,2022-07-12,2024-08-31,MGR-BU-01-16,Chicago
EMP-0184,BU-01,Lee Jones,L2,2023-01-03,2024-10-22,MGR-BU-01-08,London
EMP-0185,BU-01,Micah Jones,L3,2022-12-26,2024-10-07,MGR-BU-01-07,Toronto
EMP-0186,BU-01,Noel Jones,L1,2021-08-04,2023-04-26,MGR-BU-01-02,New York
EMP-0187,BU-01,Parker Jones,L3,2020-11-30,2024-06-17,MGR-BU-01-18,Amsterdam
EMP-0188,BU-01,Robin Jones,L2,2019-10-07,2024-06-02,MGR-BU-01-18,Dublin
EMP-0189,BU-01,Sam Jones,L1,2019-10-06,2024-09-21,MGR-BU-01-19,Chicago
EMP-0190,BU-01,Tatum Jones,L1,2021-07-03,2024-06-18,MGR-BU-01-12,Chicago
EMP-0191,BU-01,Uma Jones,L1,2023-08-18,2024-12-04,MGR-BU-01-05,Frankfurt
EMP-0192,BU-01,Val Jones,L1,2023-04-05,2024-06-15,MGR-BU-01-09,New York
EMP-0193,BU-01,Wren Jones,L2,2020-08-29,2024-05-20,MGR-BU-01-18,Chicago
EMP-0194,BU-01,Xander Jones,L1,2022-01-16,,MGR-BU-01-11,Chicago
EMP-0195,BU-01,Yael Jones,L3,2022-07-01,2024-08-03,MGR-BU-01-09,Singapore
EMP-0196,BU-01,Zara Jones,L5,2019-07-15,2025-01-17,MGR-BU-01-14,New York
EMP-0197,BU-01,Ash Jones,L1,2023-03-31,2024-12-31,MGR-BU-01-10,Toronto
EMP-0198,BU-01,Bay Jones,L4,2021-10-27,,MGR-BU-01-03,Tokyo
EMP-0199,BU-01,Cedar Jones,L3,2023-04-07,2024-12-31,MGR-BU-01-17,London
EMP-0200,BU-01,Devon Jones,L1,2019-01-08,,MGR-BU-01-05,Frankfurt
EMP-0201,BU-01,Alex Garcia,L5,2022-03-20,2024-04-23,MGR-BU-01-02,Sydney
EMP-0202,BU-01,Jordan Garcia,L1,2021-06-05,2023-01-31,MGR-BU-01-17,Tokyo
EMP-0203,BU-01,Morgan Garcia,L2,2021-05-21,2024-07-28,MGR-BU-01-06,Tokyo
EMP-0204,BU-01,Taylor Garcia,L2,2019-03-19,,MGR-BU-01-08,Amsterdam
EMP-0205,BU-01,Casey Garcia,L2,2021-07-10,2024-10-30,MGR-BU-01-03,Singapore
EMP-0206,BU-01,Riley Garcia,L4,2019-02-03,2024-06-10,MGR-BU-01-03,New York
EMP-0207,BU-01,Avery Garcia,L2,2022-02-22,2023-05-27,MGR-BU-01-08,Frankfurt
EMP-0208,BU-01,Quinn Garcia,L5,2019-12-14,2024-09-05,MGR-BU-01-13,Dublin
EMP-0209,BU-01,Skylar Garcia,L2,2020-04-14,2025-03-06,MGR-BU-01-08,Singapore
EMP-0210,BU-01,Peyton Garcia,L2,2019-02-25,2024-09-12,MGR-BU-01-12,Singapore
EMP-0211,BU-01,Drew Garcia,L2,2022-02-03,2024-11-26,MGR-BU-01-12,Tokyo
EMP-0212,BU-01,Reese Garcia,L1,2023-06-03,2024-08-04,MGR-BU-01-08,Chicago
EMP-0213,BU-01,Blake Garcia,L2,2021-05-18,2024-05-31,MGR-BU-01-15,Dublin
EMP-0214,BU-01,Cameron Garcia,L4,2020-01-18,2024-01-28,MGR-BU-01-12,Sydney
EMP-0215,BU-01,Logan Garcia,L5,2021-04-04,2024-07-03,MGR-BU-01-17,London
EMP-0216,BU-01,Harper Garcia,L1,2023-04-05,2024-11-04,MGR-BU-01-14,Toronto
EMP-0217,BU-01,Emerson Garcia,L5,2019-09-25,2025-03-11,MGR-BU-01-08,Tokyo
EMP-0218,BU-01,Finley Garcia,L1,2019-02-08,2024-10-28,MGR-BU-01-01,Tokyo
EMP-0219,BU-01,Rowan Garcia,L3,2020-07-10,,MGR-BU-01-02,New York
EMP-0220,BU-01,Sasha Garcia,L4,2020-03-23,2024-02-05,MGR-BU-01-05,Frankfurt
EMP-0221,BU-01,Dakota Garcia,L1,2021-07-17,2024-06-13,MGR-BU-01-12,Amsterdam
EMP-0222,BU-01,Jamie Garcia,L4,2022-03-09,2025-03-07,MGR-BU-01-20,Chicago
EMP-0223,BU-01,Kendall Garcia,L2,2019-09-18,,MGR-BU-01-12,Toronto
EMP-0224,BU-01,Lee Garcia,L2,2021-09-09,2024-05-29,MGR-BU-01-16,Singapore
EMP-0225,BU-01,Micah Garcia,L5,2021-03-17,,MGR-BU-01-02,Tokyo
EMP-0226,BU-01,Noel Garcia,L1,2019-09-10,2024-03-03,MGR-BU-01-19,Sydney
EMP-0227,BU-01,Parker Garcia,L2,2019-08-02,2025-03-17,MGR-BU-01-03,London
EMP-0228,BU-01,Robin Garcia,L2,2019-11-26,2024-08-20,MGR-BU-01-05,Sydney
EMP-0229,BU-01,Sam Garcia,L3,2019-02-02,2024-11-19,MGR-BU-01-19,Frankfurt
EMP-0230,BU-01,Tatum Garcia,L2,2021-12-31,2025-03-07,MGR-BU-01-03,London
EMP-0231,BU-01,Uma Garcia,L4,2019-07-28,,MGR-BU-01-16,New York
EMP-0232,BU-01,Val Garcia,L4,2022-03-21,2023-09-13,MGR-BU-01-07,New York
EMP-0233,BU-01,Wren Garcia,L3,2023-08-23,,MGR-BU-01-11,Frankfurt
EMP-0234,BU-01,Xander Garcia,L1,2020-06-23,2024-09-05,MGR-BU-01-13,Toronto
EMP-0235,BU-01,Yael Garcia,L3,2021-12-19,2024-05-12,MGR-BU-01-03,New York
EMP-0236,BU-01,Zara Garcia,L3,2021-07-24,2024-10-29,MGR-BU-01-19,Singapore
EMP-0237,BU-01,Ash Garcia,L1,2021-08-18,,MGR-BU-01-03,Frankfurt
EMP-0238,BU-01,Bay Garcia,L5,2022-11-15,2024-08-04,MGR-BU-01-02,London
EMP-0239,BU-01,Cedar Garcia,L4,2021-10-31,,MGR-BU-01-09,Tokyo
EMP-0240,BU-01,Devon Garcia,L3,2022-08-04,,MGR-BU-01-02,Tokyo
EMP-0241,BU-01,Alex Miller,L2,2019-07-22,2025-02-12,MGR-BU-01-13,London
EMP-0242,BU-01,Jordan Miller,L3,2022-09-02,2023-07-22,MGR-BU-01-01,Chicago
EMP-0243,BU-01,Morgan Miller,L1,2021-06-25,2025-03-28,MGR-BU-01-20,Singapore
EMP-0244,BU-01,Taylor Miller,L5,2022-02-02,2023-04-16,MGR-BU-01-07,Chicago
EMP-0245,BU-01,Casey Miller,L4,2022-04-12,2024-01-18,MGR-BU-01-19,Tokyo
EMP-0246,BU-01,Riley Miller,L4,2023-02-14,2023-11-11,MGR-BU-01-02,Tokyo
EMP-0247,BU-01,Avery Miller,L5,2020-04-29,2024-05-27,MGR-BU-01-11,Dublin
EMP-0248,BU-01,Quinn Miller,L2,2020-05-23,2024-10-24,MGR-BU-01-08,Tokyo
EMP-0249,BU-01,Skylar Miller,L5,2023-06-16,,MGR-BU-01-06,Chicago
EMP-0250,BU-01,Peyton Miller,L2,2022-11-09,2025-01-14,MGR-BU-01-04,Tokyo
EMP-0251,BU-01,Drew Miller,L4,2022-10-22,,MGR-BU-01-02,London
EMP-0252,BU-01,Reese Miller,L5,2021-03-09,2024-12-14,MGR-BU-01-17,Toronto
EMP-0253,BU-01,Blake Miller,L5,2019-10-03,,MGR-BU-01-13,London
EMP-0254,BU-01,Cameron Miller,L3,2019-05-16,,MGR-BU-01-16,Chicago
EMP-0255,BU-01,Logan Miller,L5,2019-03-04,2024-10-15,MGR-BU-01-18,Frankfurt
EMP-0256,BU-01,Harper Miller,L2,2020-02-16,2024-12-13,MGR-BU-01-10,Dublin
EMP-0257,BU-01,Emerson Miller,L2,2022-06-05,2024-08-19,MGR-BU-01-08,London
EMP-0258,BU-01,Finley Miller,L4,2020-04-26,2024-05-03,MGR-BU-01-02,Amsterdam
EMP-0259,BU-01,Rowan Miller,L3,2022-11-02,2024-09-10,MGR-BU-01-19,New York
EMP-0260,BU-01,Sasha Miller,L2,2023-02-22,2023-12-10,MGR-BU-01-04,Singapore
EMP-0261,BU-01,Dakota Miller,L2,2019-02-14,,MGR-BU-01-08,Sydney
EMP-0262,BU-01,Jamie Miller,L5,2019-04-23,2024-11-28,MGR-BU-01-01,Singapore
EMP-0263,BU-01,Kendall Miller,L1,2023-07-10,2024-10-22,MGR-BU-01-19,New York
EMP-0264,BU-01,Lee Miller,L3,2022-10-30,2024-05-25,MGR-BU-01-08,Tokyo
EMP-0265,BU-01,Micah Miller,L3,2021-03-15,2024-07-04,MGR-BU-01-16,Singapore
EMP-0266,BU-01,Noel Miller,L3,2019-12-14,2024-10-02,MGR-BU-01-14,Dublin
EMP-0267,BU-01,Parker Miller,L2,2019-04-01,2024-11-14,MGR-BU-01-03,New York
EMP-0268,BU-01,Robin Miller,L2,2022-09-07,2024-09-19,MGR-BU-01-13,Tokyo
EMP-0269,BU-01,Sam Miller,L4,2019-09-21,,MGR-BU-01-08,London
EMP-0270,BU-01,Tatum Miller,L2,2021-09-30,2024-10-14,MGR-BU-01-04,London
EMP-0271,BU-01,Uma Miller,L2,2022-12-05,2024-11-24,MGR-BU-01-14,Dublin
